,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,W10lastW,W10lastL,W5lastW,W5lastL
0,1,Doha,Qatar Exxon Mobil Open,1/6/2020,ATP250,Outdoor,Hard,1st Round,3,Bublik A.,Mannarino A.,55.0,43.0,919.0,1111.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.0,1.72,2.21,1.74,2.25,1.8,2.11,1.72,0,0,0,0
1,1,Doha,Qatar Exxon Mobil Open,1/6/2020,ATP250,Outdoor,Hard,1st Round,3,Moutet C.,Sandgren T.,81.0,68.0,638.0,803.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.57,2.25,1.6,2.47,1.65,2.47,1.59,2.34,0,0,0,0
2,1,Doha,Qatar Exxon Mobil Open,1/6/2020,ATP250,Outdoor,Hard,1st Round,3,Verdasco F.,Andujar P.,49.0,64.0,1025.0,867.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.25,3.75,1.31,3.74,1.33,3.85,1.29,3.53,0,0,0,0
3,1,Doha,Qatar Exxon Mobil Open,1/6/2020,ATP250,Outdoor,Hard,1st Round,3,Bedene A.,Ymer M.,58.0,76.0,905.0,681.0,3.0,6.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,1.83,1.83,1.97,1.92,2.0,2.07,1.87,1.92,0,0,0,0
4,1,Doha,Qatar Exxon Mobil Open,1/6/2020,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Barrere G.,54.0,83.0,920.0,636.0,6.0,3.0,3.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,1.5,2.5,1.54,2.62,1.57,2.65,1.53,2.47,0,0,0,0
5,1,Doha,Qatar Exxon Mobil Open,1/6/2020,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Thompson J.,62.0,63.0,881.0,878.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.74,2.21,1.8,2.3,1.72,2.11,0,0,0,0
6,1,Doha,Qatar Exxon Mobil Open,1/6/2020,ATP250,Outdoor,Hard,1st Round,3,Krajinovic F.,Edmund K.,40.0,69.0,1148.0,800.0,4.0,6.0,6.0,3.0,6.0,3.0,,,,,2.0,1.0,Completed,1.83,1.83,1.9,1.99,2.23,2.1,1.88,1.92,0,0,0,0
7,1,Doha,Qatar Exxon Mobil Open,1/7/2020,ATP250,Outdoor,Hard,1st Round,3,Djere L.,Sonego L.,39.0,51.0,1151.0,990.0,6.0,1.0,3.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,3.0,1.36,3.18,1.4,3.2,1.43,3.03,1.37,0,0,0,0
8,1,Doha,Qatar Exxon Mobil Open,1/7/2020,ATP250,Outdoor,Hard,1st Round,3,Fucsovics M.,Tiafoe F.,70.0,47.0,790.0,1050.0,6.0,4.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2.0,1.72,2.03,1.86,2.1,1.87,2.01,1.78,0,0,0,0
9,1,Doha,Qatar Exxon Mobil Open,1/7/2020,ATP250,Outdoor,Hard,1st Round,3,Ilkel C.,Berankis R.,279.0,67.0,144.0,804.0,6.0,2.0,4.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,3.5,1.28,3.34,1.37,4.2,1.4,3.72,1.27,0,0,0,0
10,1,Doha,Qatar Exxon Mobil Open,1/7/2020,ATP250,Outdoor,Hard,1st Round,3,Kukushkin M.,Jaziri M.,66.0,229.0,816.0,206.0,6.0,0.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.31,3.74,1.33,4.0,1.29,3.54,0,0,0,0
11,1,Doha,Qatar Exxon Mobil Open,1/7/2020,ATP250,Outdoor,Hard,1st Round,3,Herbert P.H.,Cecchinato M.,65.0,75.0,840.0,690.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.57,2.55,1.62,2.7,1.54,2.44,0,0,0,0
12,1,Doha,Qatar Exxon Mobil Open,1/7/2020,ATP250,Outdoor,Hard,2nd Round,3,Bedene A.,Bublik A.,58.0,55.0,905.0,919.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.83,2.09,1.83,2.2,1.75,2.06,1,0,1,0
